APPLICATION_TYPE,AFFILIATION,CLASSIFICATION,USE_CASE,ORGANIZATION,INCOME_AMT,ASK_AMT,IS_SUCCESSFUL
T10,Independent,C1000,ProductDev,Association,0,5000,1
T3,Independent,C2000,Preservation,Co-operative,1-9999,108590,1
T5,CompanySponsored,C3000,ProductDev,Association,0,5000,0
T3,CompanySponsored,C2000,Preservation,Trust,10000-24999,6692,1
T3,Independent,C1000,Heathcare,Trust,100000-499999,142590,1
T3,Independent,C1200,Preservation,Trust,0,5000,1
T3,Independent,C1000,Preservation,Trust,100000-499999,31452,1
T3,Independent,C2000,Preservation,Trust,10M-50M,7508025,1
T7,Independent,C1000,ProductDev,Trust,1-9999,94389,1
T5,CompanySponsored,C3000,ProductDev,Association,0,5000,0
T3,Independent,C1200,Preservation,Trust,25000-99999,69656,0
T3,Independent,C2000,Preservation,Trust,100000-499999,165593,0
T3,CompanySponsored,C1200,Preservation,Association,0,5000,1
T3,Independent,C2700,Preservation,Trust,25000-99999,5301,1
T3,Independent,C1000,Preservation,Trust,0,5000,1
T3,Independent,C1200,Preservation,Trust,0,5000,1
T3,Independent,C2000,Preservation,Trust,0,5000,1
T3,Independent,C1000,Heathcare,Trust,50M+,86380556,0
T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
T3,CompanySponsored,C1000,Preservation,Trust,100000-499999,376109,0
T4,Independent,C3000,ProductDev,Trust,0,5000,1
T3,Independent,C1200,Preservation,Trust,0,5000,1
T3,Independent,C7000,Preservation,Trust,100000-499999,318296,0
T4,CompanySponsored,C3000,ProductDev,Association,0,5000,0
T3,CompanySponsored,C1200,Preservation,Trust,0,5000,0
T4,Independent,C3000,ProductDev,Trust,0,5000,1
T3,CompanySponsored,C1000,Preservation,Trust,0,5000,1
T3,CompanySponsored,C2000,Preservation,Trust,25000-99999,44004,1
T3,CompanySponsored,C2000,Preservation,Trust,0,5000,0
T6,Independent,C2000,ProductDev,Trust,0,5000,1
T6,Independent,C2000,ProductDev,Trust,100000-499999,323466,1
T3,Independent,C1200,Preservation,Trust,0,5000,1
T7,Independent,C1000,ProductDev,Trust,0,5000,1
